"[[3 3 4 2]
 [3 3 1 5]]","[-9, 12]",21,"[-9, 12]",21,"[-9, 12]",21,"[-10, 13]",23,"[-9, 12]",21,"[-10, 13]",23
"[[4 2 6 0]
 [2 4 0 6]]","[-10, 9]",19,"[-11, 11]",22,"[-10, 9]",19,"[-10, 10]",20,"[-11, 9]",20,"[-10, 10]",20
"[[2 4 5 1]
 [6 0 4 2]]","[-11, 8]",19,"[-12, 10]",22,"[-11, 8]",19,"[-11, 9]",20,"[-11, 8]",19,"[-11, 9]",20
"[[1 5 4 2]
 [3 3 1 5]]","[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21
"[[2 4 5 1]
 [4 2 2 4]]","[-11, 9]",20,"[-12, 10]",22,"[-12, 8]",20,"[-12, 9]",21,"[-12, 8]",20,"[-12, 9]",21
"[[2 4 4 2]
 [4 2 3 3]]","[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 10]",22
"[[3 3 5 1]
 [3 3 3 3]]","[-14, 8]",22,"[-13, 8]",21,"[-14, 8]",22,"[-14, 9]",23,"[-13, 7]",20,"[-14, 9]",23
"[[1 5 3 3]
 [4 2 2 4]]","[-11, 10]",21,"[-11, 11]",22,"[-11, 10]",21,"[-12, 11]",23,"[-11, 10]",21,"[-12, 11]",23
"[[1 5 4 2]
 [4 2 2 4]]","[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21
"[[2 4 4 2]
 [4 2 2 4]]","[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[1 5 2 4]
 [4 2 2 4]]","[-8, 12]",20,"[-9, 12]",21,"[-8, 12]",20,"[-9, 12]",21,"[-8, 11]",19,"[-9, 12]",21
"[[1 5 2 4]
 [6 0 3 3]]","[-7, 12]",19,"[-8, 13]",21,"[-6, 12]",18,"[-8, 13]",21,"[-6, 12]",18,"[-8, 13]",21
"[[2 4 4 2]
 [6 0 2 4]]","[-8, 12]",20,"[-9, 14]",23,"[-8, 13]",21,"[-9, 12]",21,"[-8, 13]",21,"[-9, 12]",21
"[[0 6 3 3]
 [2 4 0 6]]","[-11, 9]",20,"[-12, 10]",22,"[-11, 9]",20,"[-12, 10]",22,"[-11, 9]",20,"[-12, 10]",22
"[[2 4 3 3]
 [4 2 3 3]]","[-10, 11]",21,"[-11, 10]",21,"[-10, 10]",20,"[-11, 12]",23,"[-10, 10]",20,"[-11, 12]",23
"[[2 4 3 3]
 [5 1 2 4]]","[-7, 13]",20,"[-8, 13]",21,"[-7, 13]",20,"[-9, 13]",22,"[-7, 13]",20,"[-9, 13]",22
"[[3 3 4 2]
 [3 3 0 6]]","[-7, 13]",20,"[-8, 13]",21,"[-7, 13]",20,"[-8, 13]",21,"[-7, 13]",20,"[-8, 13]",21
"[[2 4 5 1]
 [4 2 3 3]]","[-13, 7]",20,"[-13, 8]",21,"[-13, 6]",19,"[-13, 7]",20,"[-13, 6]",19,"[-13, 7]",20
"[[1 5 4 2]
 [5 1 3 3]]","[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 10]",22,"[-12, 9]",21,"[-12, 10]",22
"[[0 6 3 3]
 [4 2 2 4]]","[-12, 8]",20,"[-12, 10]",22,"[-11, 8]",19,"[-12, 9]",21,"[-12, 8]",20,"[-12, 9]",21
