"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 4  6 14 16]]","[-28, 17]",45,"[-32, 24]",56,"[-26, 20]",46,"[-30, 22]",52,"[-26, 20]",46,"[-30, 22]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 5  5 15 15]]","[-17, 27]",44,"[-26, 32]",58,"[-19, 26]",45,"[-22, 30]",52,"[-20, 26]",46,"[-22, 30]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 6  4 15 15]]","[-20, 26]",46,"[-26, 32]",58,"[-21, 26]",47,"[-25, 28]",53,"[-21, 26]",47,"[-25, 28]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 16 14]
 [ 6  4 16 14]]","[-27, 20]",47,"[-32, 28]",60,"[-26, 22]",48,"[-31, 23]",54,"[-27, 22]",49,"[-31, 23]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 14 16]
 [ 6  4 12 18]]","[-9, 35]",44,"[-17, 40]",57,"[-9, 35]",44,"[-14, 39]",53,"[-10, 35]",45,"[-14, 39]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 18 12]
 [ 4  6 18 12]]","[-39, 8]",47,"[-43, 16]",59,"[-39, 7]",46,"[-42, 12]",54,"[-39, 8]",47,"[-42, 12]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 6  4 15 15]]","[-18, 30]",48,"[-24, 33]",57,"[-18, 29]",47,"[-24, 34]",58,"[-19, 29]",48,"[-24, 34]",58

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 6  4 12 18]]","[-14, 31]",45,"[-22, 35]",57,"[-16, 30]",46,"[-18, 34]",52,"[-17, 30]",47,"[-18, 34]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 7  3 16 14]]","[-25, 20]",45,"[-34, 32]",66,"[-27, 25]",52,"[-29, 23]",52,"[-28, 26]",54,"[-29, 23]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 3  7 15 15]]","[-25, 22]",47,"[-33, 30]",63,"[-26, 24]",50,"[-27, 25]",52,"[-27, 24]",51,"[-27, 25]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 4  6 13 17]]","[-21, 26]",47,"[-29, 32]",61,"[-21, 26]",47,"[-24, 32]",56,"[-23, 27]",50,"[-24, 32]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 13 17]
 [ 5  5 16 14]]","[-25, 20]",45,"[-30, 28]",58,"[-24, 21]",45,"[-29, 25]",54,"[-24, 22]",46,"[-29, 25]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 8  2 15 15]
 [ 5  5 14 16]]","[-13, 33]",46,"[-23, 39]",62,"[-17, 33]",50,"[-17, 34]",51,"[-17, 34]",51,"[-17, 34]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 15 15]
 [ 5  5 13 17]]","[-14, 31]",45,"[-23, 37]",60,"[-18, 30]",48,"[-17, 34]",51,"[-18, 31]",49,"[-17, 34]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 13 17]
 [ 3  7 15 15]]","[-26, 20]",46,"[-32, 28]",60,"[-26, 22]",48,"[-29, 25]",54,"[-28, 22]",50,"[-29, 25]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 15 15]
 [ 4  6 13 17]]","[-16, 27]",43,"[-27, 35]",62,"[-20, 29]",49,"[-21, 31]",52,"[-21, 30]",51,"[-21, 31]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 2  8 12 18]
 [ 3  7 15 15]]","[-34, 10]",44,"[-36, 20]",56,"[-34, 12]",46,"[-35, 16]",51,"[-34, 14]",48,"[-35, 16]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 4  6 14 16]]","[-22, 23]",45,"[-30, 31]",61,"[-22, 24]",46,"[-26, 27]",53,"[-23, 26]",49,"[-26, 27]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 6  4 13 17]]","[-14, 32]",46,"[-20, 35]",55,"[-13, 32]",45,"[-18, 35]",53,"[-13, 31]",44,"[-18, 35]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 7  3 14 16]]","[-13, 35]",48,"[-21, 38]",59,"[-13, 34]",47,"[-17, 37]",54,"[-13, 34]",47,"[-17, 37]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 2  8 14 16]]","[-29, 16]",45,"[-35, 29]",64,"[-30, 23]",53,"[-32, 20]",52,"[-31, 24]",55,"[-32, 20]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 2  8 14 16]]","[-29, 16]",45,"[-36, 27]",63,"[-30, 20]",50,"[-31, 20]",51,"[-31, 21]",52,"[-31, 20]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 4  6 13 17]]","[-18, 26]",44,"[-26, 33]",59,"[-20, 27]",47,"[-22, 30]",52,"[-21, 27]",48,"[-22, 30]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 15 15]
 [ 3  7 14 16]]","[-31, 16]",47,"[-34, 24]",58,"[-30, 17]",47,"[-34, 20]",54,"[-31, 17]",48,"[-34, 20]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 7  3 16 14]]","[-15, 31]",46,"[-23, 35]",58,"[-17, 30]",47,"[-19, 34]",53,"[-17, 30]",47,"[-19, 34]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 17 13]
 [ 6  4 15 15]]","[-19, 26]",45,"[-27, 31]",58,"[-19, 26]",45,"[-23, 29]",52,"[-19, 25]",44,"[-23, 29]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 12 18]
 [ 4  6 15 15]]","[-22, 24]",46,"[-28, 30]",58,"[-21, 23]",44,"[-27, 26]",53,"[-22, 24]",46,"[-27, 26]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 17 13]
 [ 6  4 15 15]]","[-18, 26]",44,"[-26, 30]",56,"[-19, 26]",45,"[-24, 31]",55,"[-19, 26]",45,"[-24, 31]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 4  6 18 12]]","[-28, 16]",44,"[-33, 25]",58,"[-28, 18]",46,"[-31, 21]",52,"[-29, 19]",48,"[-31, 21]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 6  4 16 14]]","[-28, 21]",49,"[-35, 28]",63,"[-28, 22]",50,"[-29, 25]",54,"[-29, 22]",51,"[-29, 25]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 12 18]
 [ 3  7 14 16]]","[-21, 24]",45,"[-29, 34]",63,"[-23, 27]",50,"[-25, 28]",53,"[-24, 29]",53,"[-25, 28]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 15 15]
 [ 7  3 18 12]]","[-24, 23]",47,"[-32, 30]",62,"[-25, 23]",48,"[-28, 26]",54,"[-26, 24]",50,"[-28, 26]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 5  5 12 18]]","[-16, 30]",46,"[-22, 34]",56,"[-16, 29]",45,"[-22, 34]",56,"[-17, 29]",46,"[-22, 34]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 13 17]
 [ 6  4 14 16]]","[-12, 32]",44,"[-19, 35]",54,"[-13, 32]",45,"[-16, 36]",52,"[-13, 31]",44,"[-16, 36]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 1  9 17 13]]","[-33, 15]",48,"[-41, 27]",68,"[-37, 20]",57,"[-35, 19]",54,"[-38, 21]",59,"[-35, 19]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 16 14]
 [ 4  6 13 17]]","[-30, 14]",44,"[-35, 24]",59,"[-30, 17]",47,"[-32, 19]",51,"[-30, 18]",48,"[-32, 19]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 3  7 14 16]]","[-30, 16]",46,"[-34, 25]",59,"[-29, 19]",48,"[-32, 21]",53,"[-29, 19]",48,"[-32, 21]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 14 16]
 [ 7  3 15 15]]","[-8, 36]",44,"[-17, 38]",55,"[-9, 35]",44,"[-15, 39]",54,"[-10, 35]",45,"[-15, 39]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 5  5 14 16]]","[-20, 26]",46,"[-27, 30]",57,"[-20, 25]",45,"[-25, 29]",54,"[-21, 25]",46,"[-25, 29]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 6  4 13 17]]","[-14, 29]",43,"[-22, 33]",55,"[-17, 28]",45,"[-18, 32]",50,"[-17, 29]",46,"[-18, 32]",50

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 3  7 14 16]]","[-29, 21]",50,"[-33, 27]",60,"[-28, 21]",49,"[-32, 25]",57,"[-28, 21]",49,"[-32, 25]",57

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 14 16]
 [ 4  6 13 17]]","[-26, 22]",48,"[-30, 28]",58,"[-26, 21]",47,"[-30, 26]",56,"[-26, 21]",47,"[-30, 26]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 6  4 16 14]]","[-23, 25]",48,"[-28, 30]",58,"[-22, 24]",46,"[-28, 28]",56,"[-23, 24]",47,"[-28, 28]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 8  2 15 15]
 [ 0 10 15 15]]","[-28, 14]",42,"[-40, 33]",73,"[-37, 27]",64,"[-29, 14]",43,"[-37, 29]",66,"[-29, 14]",43

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 6  4 14 16]]","[-22, 26]",48,"[-28, 30]",58,"[-22, 25]",47,"[-26, 30]",56,"[-22, 25]",47,"[-26, 30]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 7  3 14 16]]","[-15, 31]",46,"[-24, 37]",61,"[-17, 31]",48,"[-20, 34]",54,"[-18, 31]",49,"[-20, 34]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 6  4 18 12]]","[-21, 24]",45,"[-28, 27]",55,"[-22, 23]",45,"[-27, 29]",56,"[-22, 23]",45,"[-27, 29]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 2  8 15 15]]","[-33, 15]",48,"[-37, 24]",61,"[-32, 18]",50,"[-36, 21]",57,"[-33, 19]",52,"[-36, 21]",57

"[[10 10 10 10]
 [10 10 10 10]]","[[ 8  2 13 17]
 [ 5  5 17 13]]","[-12, 32]",44,"[-25, 38]",63,"[-19, 33]",52,"[-15, 35]",50,"[-19, 34]",53,"[-15, 35]",50

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 6  4 15 15]]","[-21, 23]",44,"[-27, 29]",56,"[-21, 25]",46,"[-24, 27]",51,"[-22, 25]",47,"[-24, 27]",51

