"[[1 5 3 3]
 [1 5 0 6]]","[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-11, 9]",20,"[-11, 8]",19,"[-11, 9]",20
"[[2 4 2 4]
 [2 4 3 3]]","[-12, 9]",21,"[-11, 8]",19,"[-11, 9]",20,"[-13, 10]",23,"[-11, 9]",20,"[-13, 10]",23
"[[2 4 4 2]
 [3 3 2 4]]","[-12, 9]",21,"[-12, 9]",21,"[-12, 8]",20,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21
"[[2 4 3 3]
 [4 2 3 3]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-9, 10]",19,"[-11, 11]",22
"[[2 4 2 4]
 [4 2 4 2]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[2 4 1 5]
 [2 4 4 2]]","[-11, 9]",20,"[-11, 9]",20,"[-11, 9]",20,"[-12, 10]",22,"[-11, 9]",20,"[-12, 10]",22
"[[3 3 2 4]
 [2 4 2 4]]","[-9, 12]",21,"[-9, 12]",21,"[-8, 11]",19,"[-9, 12]",21,"[-8, 11]",19,"[-9, 12]",21
"[[4 2 3 3]
 [4 2 5 1]]","[-10, 11]",21,"[-10, 11]",21,"[-10, 10]",20,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[4 2 4 2]
 [3 3 3 3]]","[-10, 10]",20,"[-9, 9]",18,"[-9, 9]",18,"[-10, 10]",20,"[-9, 9]",18,"[-10, 10]",20
"[[3 3 2 4]
 [4 2 3 3]]","[-8, 13]",21,"[-7, 13]",20,"[-8, 13]",21,"[-10, 14]",24,"[-7, 13]",20,"[-10, 14]",24
"[[2 4 2 4]
 [3 3 4 2]]","[-12, 9]",21,"[-11, 9]",20,"[-12, 9]",21,"[-13, 11]",24,"[-11, 9]",20,"[-13, 11]",24
"[[4 2 3 3]
 [2 4 4 2]]","[-12, 9]",21,"[-12, 9]",21,"[-11, 8]",19,"[-12, 10]",22,"[-12, 8]",20,"[-12, 10]",22
"[[4 2 4 2]
 [2 4 2 4]]","[-11, 11]",22,"[-10, 10]",20,"[-10, 10]",20,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[3 3 1 5]
 [3 3 1 5]]","[-4, 16]",20,"[-5, 15]",20,"[-4, 16]",20,"[-5, 16]",21,"[-4, 15]",19,"[-5, 16]",21
"[[1 5 1 5]
 [2 4 3 3]]","[-11, 8]",19,"[-11, 8]",19,"[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21
"[[3 3 3 3]
 [3 3 3 3]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[5 1 3 3]
 [2 4 0 6]]","[-3, 16]",19,"[-4, 15]",19,"[-3, 16]",19,"[-5, 16]",21,"[-3, 15]",18,"[-5, 16]",21
"[[4 2 4 2]
 [3 3 3 3]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[2 4 2 4]
 [3 3 3 3]]","[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[0 6 1 5]
 [4 2 4 2]]","[-11, 8]",19,"[-11, 9]",20,"[-11, 8]",19,"[-13, 10]",23,"[-11, 7]",18,"[-13, 10]",23
"[[4 2 4 2]
 [4 2 5 1]]","[-12, 9]",21,"[-12, 9]",21,"[-11, 9]",20,"[-12, 9]",21,"[-11, 9]",20,"[-12, 9]",21
"[[2 4 4 2]
 [2 4 1 5]]","[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-12, 8]",20,"[-11, 8]",19,"[-12, 8]",20
"[[4 2 3 3]
 [3 3 4 2]]","[-11, 11]",22,"[-10, 11]",21,"[-10, 11]",21,"[-12, 12]",24,"[-10, 11]",21,"[-12, 12]",24
"[[5 1 3 3]
 [2 4 3 3]]","[-8, 12]",20,"[-9, 12]",21,"[-8, 12]",20,"[-10, 13]",23,"[-8, 12]",20,"[-10, 13]",23
"[[1 5 4 2]
 [3 3 2 4]]","[-13, 7]",20,"[-14, 8]",22,"[-13, 7]",20,"[-13, 9]",22,"[-13, 7]",20,"[-13, 9]",22
"[[2 4 3 3]
 [3 3 3 3]]","[-12, 9]",21,"[-12, 9]",21,"[-11, 9]",20,"[-13, 10]",23,"[-11, 8]",19,"[-13, 10]",23
"[[2 4 3 3]
 [2 4 3 3]]","[-13, 8]",21,"[-13, 7]",20,"[-13, 8]",21,"[-14, 10]",24,"[-13, 7]",20,"[-14, 10]",24
"[[6 0 3 3]
 [4 2 3 3]]","[-4, 16]",20,"[-5, 15]",20,"[-4, 16]",20,"[-6, 16]",22,"[-4, 16]",20,"[-6, 16]",22
"[[5 1 5 1]
 [2 4 4 2]]","[-13, 7]",20,"[-13, 7]",20,"[-13, 7]",20,"[-13, 8]",21,"[-13, 7]",20,"[-13, 8]",21
"[[2 4 1 5]
 [5 1 3 3]]","[-6, 14]",20,"[-6, 14]",20,"[-5, 14]",19,"[-7, 15]",22,"[-5, 14]",19,"[-7, 15]",22
"[[2 4 3 3]
 [3 3 3 3]]","[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21,"[-13, 10]",23,"[-12, 8]",20,"[-13, 10]",23
"[[4 2 3 3]
 [3 3 4 2]]","[-11, 11]",22,"[-11, 10]",21,"[-11, 11]",22,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[2 4 3 3]
 [3 3 4 2]]","[-13, 7]",20,"[-12, 7]",19,"[-13, 7]",20,"[-14, 8]",22,"[-13, 7]",20,"[-14, 8]",22
"[[3 3 4 2]
 [3 3 3 3]]","[-11, 9]",20,"[-11, 9]",20,"[-11, 9]",20,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21
"[[3 3 2 4]
 [2 4 3 3]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 12]",23,"[-10, 10]",20,"[-11, 12]",23
"[[4 2 5 1]
 [3 3 3 3]]","[-12, 9]",21,"[-12, 9]",21,"[-12, 9]",21,"[-13, 10]",23,"[-12, 8]",20,"[-13, 10]",23
"[[3 3 4 2]
 [2 4 2 4]]","[-12, 9]",21,"[-11, 9]",20,"[-12, 9]",21,"[-12, 10]",22,"[-11, 9]",20,"[-12, 10]",22
"[[1 5 1 5]
 [3 3 1 5]]","[-8, 13]",21,"[-8, 13]",21,"[-7, 13]",20,"[-9, 13]",22,"[-7, 13]",20,"[-9, 13]",22
"[[3 3 5 1]
 [2 4 5 1]]","[-17, 3]",20,"[-17, 3]",20,"[-17, 3]",20,"[-17, 5]",22,"[-17, 3]",20,"[-17, 5]",22
"[[2 4 4 2]
 [3 3 3 3]]","[-13, 7]",20,"[-13, 7]",20,"[-13, 7]",20,"[-14, 9]",23,"[-13, 7]",20,"[-14, 9]",23
"[[4 2 4 2]
 [5 1 5 1]]","[-10, 10]",20,"[-10, 10]",20,"[-9, 9]",18,"[-10, 10]",20,"[-9, 9]",18,"[-10, 10]",20
"[[4 2 4 2]
 [3 3 4 2]]","[-12, 9]",21,"[-11, 9]",20,"[-11, 9]",20,"[-13, 10]",23,"[-11, 9]",20,"[-13, 10]",23
"[[5 1 4 2]
 [3 3 3 3]]","[-9, 12]",21,"[-9, 11]",20,"[-9, 12]",21,"[-10, 13]",23,"[-8, 11]",19,"[-10, 13]",23
"[[4 2 3 3]
 [1 5 1 5]]","[-9, 12]",21,"[-8, 12]",20,"[-9, 11]",20,"[-10, 13]",23,"[-8, 11]",19,"[-10, 13]",23
"[[2 4 1 5]
 [5 1 3 3]]","[-5, 14]",19,"[-6, 14]",20,"[-5, 14]",19,"[-6, 15]",21,"[-5, 14]",19,"[-6, 15]",21
"[[2 4 4 2]
 [3 3 4 2]]","[-14, 6]",20,"[-14, 6]",20,"[-14, 5]",19,"[-15, 7]",22,"[-14, 5]",19,"[-15, 7]",22
"[[2 4 2 4]
 [5 1 5 1]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[4 2 5 1]
 [3 3 4 2]]","[-13, 7]",20,"[-12, 7]",19,"[-13, 7]",20,"[-14, 9]",23,"[-13, 7]",20,"[-14, 9]",23
"[[2 4 1 5]
 [3 3 2 4]]","[-8, 13]",21,"[-7, 13]",20,"[-7, 13]",20,"[-8, 14]",22,"[-7, 13]",20,"[-8, 14]",22
"[[4 2 4 2]
 [3 3 5 1]]","[-14, 8]",22,"[-13, 8]",21,"[-14, 8]",22,"[-14, 9]",23,"[-14, 8]",22,"[-14, 9]",23
"[[2 4 2 4]
 [3 3 4 2]]","[-11, 8]",19,"[-11, 9]",20,"[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21
"[[3 3 2 4]
 [2 4 3 3]]","[-11, 10]",21,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[1 5 3 3]
 [2 4 4 2]]","[-16, 5]",21,"[-16, 5]",21,"[-16, 5]",21,"[-16, 6]",22,"[-16, 5]",21,"[-16, 6]",22
"[[3 3 3 3]
 [2 4 2 4]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[1 5 2 4]
 [2 4 2 4]]","[-12, 9]",21,"[-11, 9]",20,"[-12, 9]",21,"[-13, 10]",23,"[-12, 9]",21,"[-13, 10]",23
"[[3 3 2 4]
 [3 3 2 4]]","[-7, 13]",20,"[-7, 13]",20,"[-7, 13]",20,"[-9, 14]",23,"[-7, 13]",20,"[-9, 14]",23
"[[2 4 2 4]
 [4 2 3 3]]","[-9, 12]",21,"[-8, 11]",19,"[-9, 12]",21,"[-10, 12]",22,"[-8, 11]",19,"[-10, 12]",22
"[[2 4 3 3]
 [3 3 2 4]]","[-11, 11]",22,"[-11, 11]",22,"[-11, 11]",22,"[-12, 11]",23,"[-10, 10]",20,"[-12, 11]",23
"[[3 3 4 2]
 [4 2 4 2]]","[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21,"[-11, 8]",19,"[-12, 9]",21
"[[5 1 3 3]
 [2 4 3 3]]","[-8, 11]",19,"[-9, 12]",21,"[-8, 11]",19,"[-10, 12]",22,"[-9, 11]",20,"[-10, 12]",22
"[[4 2 2 4]
 [3 3 2 4]]","[-6, 15]",21,"[-6, 14]",20,"[-5, 14]",19,"[-7, 15]",22,"[-5, 14]",19,"[-7, 15]",22
"[[1 5 3 3]
 [2 4 2 4]]","[-13, 7]",20,"[-13, 8]",21,"[-13, 7]",20,"[-14, 9]",23,"[-13, 7]",20,"[-14, 9]",23
"[[3 3 4 2]
 [2 4 3 3]]","[-14, 8]",22,"[-13, 8]",21,"[-13, 8]",21,"[-14, 10]",24,"[-13, 8]",21,"[-14, 10]",24
"[[4 2 4 2]
 [1 5 0 6]]","[-7, 11]",18,"[-8, 11]",19,"[-7, 11]",18,"[-10, 13]",23,"[-7, 11]",18,"[-10, 13]",23
"[[1 5 2 4]
 [2 4 2 4]]","[-12, 8]",20,"[-11, 9]",20,"[-11, 8]",19,"[-13, 10]",23,"[-11, 8]",19,"[-13, 10]",23
"[[2 5 4 3]
 [3 4 3 4]]","[-14, 8]",22,"[-14, 9]",23,"[-14, 8]",22,"[-15, 9]",24,"[-13, 7]",20,"[-15, 9]",24
"[[5 2 4 3]
 [4 3 3 4]]","[-9, 14]",23,"[-9, 14]",23,"[-8, 14]",22,"[-10, 16]",26,"[-8, 14]",22,"[-10, 16]",26
"[[4 3 4 3]
 [5 2 5 2]]","[-12, 12]",24,"[-11, 11]",22,"[-11, 11]",22,"[-13, 13]",26,"[-11, 11]",22,"[-13, 13]",26
"[[5 2 4 3]
 [4 3 3 4]]","[-9, 15]",24,"[-8, 14]",22,"[-8, 14]",22,"[-9, 16]",25,"[-8, 14]",22,"[-9, 16]",25
"[[3 4 2 5]
 [4 3 4 3]]","[-10, 13]",23,"[-10, 13]",23,"[-10, 13]",23,"[-11, 14]",25,"[-9, 13]",22,"[-11, 14]",25
"[[4 3 4 3]
 [1 6 2 5]]","[-13, 9]",22,"[-13, 10]",23,"[-12, 9]",21,"[-14, 10]",24,"[-12, 9]",21,"[-14, 10]",24
"[[3 4 5 2]
 [3 4 3 4]]","[-13, 8]",21,"[-14, 9]",23,"[-13, 7]",20,"[-15, 10]",25,"[-13, 8]",21,"[-15, 10]",25
"[[4 3 5 2]
 [5 2 5 2]]","[-13, 10]",23,"[-13, 10]",23,"[-13, 10]",23,"[-14, 11]",25,"[-12, 9]",21,"[-14, 11]",25
"[[4 3 2 5]
 [2 5 3 4]]","[-10, 13]",23,"[-11, 13]",24,"[-10, 13]",23,"[-11, 14]",25,"[-9, 12]",21,"[-11, 14]",25
