"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[8, 19]","[11, 19]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[8, 19]","[11, 19]"
"[[4 1 1 4]
 [5 0 0 5]]","[2, 18]","[6, 18]","[3, 18]","[8, 18]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[11, 24]","[18, 24]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[5, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[11, 23]","[15, 23]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[9, 20]","[14, 20]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[5, 19]","[11, 19]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[9, 19]"
"[[6 0 1 5]
 [5 1 0 6]]","[6, 22]","[8, 22]","[5, 22]","[10, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[9, 20]","[14, 20]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[5 0 0 5]
 [5 0 2 3]]","[2, 18]","[5, 18]","[5, 18]","[8, 18]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 0 1 4]
 [4 1 0 5]]","[2, 18]","[6, 18]","[4, 18]","[7, 18]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[6, 19]","[11, 19]"
"[[6 0 1 5]
 [6 0 1 5]]","[6, 22]","[9, 22]","[6, 22]","[12, 22]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[8, 19]","[10, 19]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[9, 19]"
"[[5 1 0 6]
 [6 0 1 5]]","[6, 22]","[8, 22]","[8, 22]","[12, 22]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[11, 23]","[14, 23]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[10, 20]","[14, 20]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [4 2 0 6]]","[6, 22]","[9, 22]","[9, 22]","[10, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[10, 22]","[12, 22]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 2 4]]","[6, 22]","[9, 22]","[7, 22]","[13, 22]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[10, 20]","[14, 20]"
"[[6 0 0 6]
 [5 1 1 5]]","[6, 22]","[8, 22]","[8, 22]","[11, 22]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[4, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[8, 19]","[10, 19]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[9, 20]","[14, 20]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[8, 23]","[14, 23]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[9, 20]","[14, 20]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[11, 24]","[18, 24]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[9, 20]","[14, 20]"
"[[6 0 0 6]
 [6 0 2 4]]","[6, 22]","[9, 22]","[8, 22]","[12, 22]"
"[[5 1 1 5]
 [6 0 1 5]]","[4, 21]","[6, 21]","[4, 21]","[8, 21]"
"[[5 0 1 4]
 [5 0 1 4]]","[2, 18]","[5, 18]","[3, 18]","[10, 18]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[6 0 2 4]
 [6 0 0 6]]","[6, 22]","[9, 22]","[7, 22]","[11, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[8, 19]","[10, 19]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[5 1 1 5]
 [6 0 0 6]]","[6, 22]","[8, 22]","[7, 22]","[11, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 0 6]
 [6 0 1 5]]","[6, 22]","[8, 22]","[7, 22]","[11, 22]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[10, 19]"
"[[5 1 0 6]
 [6 0 1 5]]","[6, 22]","[8, 22]","[9, 22]","[12, 22]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[5 1 0 6]
 [6 0 1 5]]","[6, 22]","[8, 22]","[7, 22]","[10, 22]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 1 5]
 [6 0 0 6]]","[6, 22]","[8, 22]","[8, 22]","[10, 22]"
"[[5 0 1 4]
 [5 0 1 4]]","[2, 18]","[5, 18]","[5, 18]","[8, 18]"
"[[6 0 1 5]
 [5 1 0 6]]","[6, 22]","[8, 22]","[8, 22]","[11, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[6, 19]","[11, 19]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[4, 22]","[11, 22]"
"[[4 1 0 5]
 [4 1 0 5]]","[2, 18]","[5, 18]","[5, 18]","[6, 18]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[12, 23]","[13, 23]"
