"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 16 14]
 [ 6  4 14 16]]","[-29.438232976449996, 29.438232976449996]",0.0,"[-27, 27]",0.01527,"[-24, 24]",15.65992,"[-23, 25]",0.55047,"[-20, 20]",122.02447

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 6  4 14 16]]","[-31.40870875623679, 26.07537542290345]",0.0,"[-29, 25]",0.01641,"[-25, 21]",12.71816,"[-25, 21]",0.40938,"[-21, 18]",149.47239

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 18 12]
 [ 6  4 15 15]]","[-29.613699478932066, 29.613699478932066]",0.0,"[-28, 26]",0.012,"[-24, 23]",13.23355,"[-22, 22]",0.39511,"[-20, 18]",156.09438

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 5  5 15 15]]","[-28.57314731443605, 31.239813981102714]",0.0,"[-26, 28]",0.01201,"[-22, 25]",12.54993,"[-23, 24]",0.46137,"[-16, 20]",185.05783

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 13 17]
 [ 6  4 16 14]]","[-24.312157565895752, 34.97882423256242]",0.0,"[-23, 31]",0.02,"[-18, 28]",13.36883,"[-17, 26]",0.52926,"[-14, 26]",160.86308

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 5  5 16 14]]","[-31.239813981102714, 28.57314731443605]",0.004,"[-28, 26]",0.016,"[-25, 22]",14.21837,"[-27, 23]",0.53628,"[-22, 20]",115.76446

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 4  6 13 17]]","[-32.31215756589575, 26.97882423256242]",0.0,"[-29, 25]",0.01143,"[-25, 21]",12.49016,"[-24, 22]",0.41296,"[-23, 18]",130.14802

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 17 13]
 [ 3  7 15 15]]","[-43.38411838348496, 14.050785050151628]",0.0,"[-38, 14]",0.012,"[-35, 10]",11.3889,"[-35, 11]",0.46112,"[-31, 8]",237.60319

"[[10 10 10 10]
 [10 10 10 10]]","[[ 8  2 15 15]
 [ 6  4 16 14]]","[-12.861725626052426, 42.19505895938576]",0.0,"[-14, 37]",0.012,"[-10, 34]",10.3571,"[-11, 34]",0.39258,"[-9, 32]",236.35701

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 6  4 15 15]]","[-22.77956474301785, 36.11289807635118]",0.0,"[-22, 32]",0.012,"[-17, 28]",11.62479,"[-17, 28]",0.47367,"[-16, 26]",134.82554

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 6  4 16 14]]","[-22.77956474301785, 36.11289807635118]",0.0,"[-22, 32]",0.008,"[-17, 28]",11.60029,"[-18, 28]",0.42309,"[-14, 23]",232.25524

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 14 16]
 [ 5  5 15 15]]","[-19.645339923563316, 38.31200659022998]",0.0,"[-19, 34]",0.01488,"[-14, 31]",12.23329,"[-13, 29]",0.63412,"[-12, 28]",195.48757

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 14 16]
 [ 5  5 17 13]]","[-34.97882423256242, 24.312157565895752]",0.0,"[-31, 23]",0.00834,"[-28, 18]",12.56439,"[-28, 17]",0.43231,"[-27, 18]",85.72857

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [15  0  1  4]]","[-0.35833758197826526, 37.6916709153116]",0.0,"[-2, 30]",0.008,"[1, 30]",0.94417,"[3, 29]",0.0528,"[3, 27]",1.45408

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  3  2]
 [14  1  0  5]]","[1.4373393521410116, 33.22932731452566]",0.00407,"[-2, 29]",0.01208,"[0, 29]",1.08609,"[2, 27]",0.04,"[2, 26]",1.79633

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [14  1  0  5]]","[5.437339352141011, 37.229327314525655]",0.004,"[1, 30]",0.00809,"[3, 30]",0.84567,"[5, 30]",0.05205,"[7, 28]",3.4694

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  1  4]
 [14  1  0  5]]","[12.909193557834826, 40.4241397754985]",0.0,"[5, 32]",0.008,"[9, 32]",0.83634,"[9, 32]",0.08372,"[12, 31]",5.15564

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 16 14]
 [ 6  4 14 16]]","[-29.438232976449996, 29.438232976449996]",0.0,"[-27, 27]",0.01216,"[-24, 24]",14.84363,"[-23, 22]",0.42802,"[-20, 20]",124.48032

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[10  5  1  4]
 [14  1  0  5]]","[14.385095226822159, 41.61490477317784]",0.0,"[6, 33]",0.008,"[11, 33]",0.84066,"[10, 33]",0.04398,"[14, 32]",6.19103

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  1  4]
 [14  1  0  5]]","[12.909193557834826, 40.4241397754985]",0.0,"[5, 32]",0.012,"[9, 32]",0.70999,"[9, 32]",0.05587,"[12, 31]",5.53862

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 4 26  8  2]]","[-19.633080595088853, 14.299747261755513]",0.0,"[-30, 19]",0.012,"[-28, 19]",6.88379,"[-25, 18]",0.17604,"[-22, 19]",13.50845

