"[[2 2 3 1]
 [3 1 1 3]
 [4 0 0 4]]","[-5, 16]",21,"[-6, 17]",23,"[-5, 17]",22,"[-7, 16]",23,"[-5, 17]",22,"[-7, 16]",23
"[[2 2 2 2]
 [2 2 1 3]
 [4 0 0 4]]","[-6, 17]",23,"[-5, 17]",22,"[-5, 17]",22,"[-7, 17]",24,"[-5, 17]",22,"[-7, 17]",24
"[[2 2 2 2]
 [2 2 0 4]
 [4 0 0 4]]","[-4, 18]",22,"[-4, 18]",22,"[-3, 18]",21,"[-6, 18]",24,"[-4, 18]",22,"[-6, 18]",24
"[[2 2 2 2]
 [3 1 1 3]
 [4 0 0 4]]","[-3, 18]",21,"[-4, 18]",22,"[-3, 18]",21,"[-6, 18]",24,"[-3, 18]",21,"[-6, 18]",24
"[[2 2 1 3]
 [2 2 0 4]
 [4 0 0 4]]","[-2, 19]",21,"[-3, 19]",22,"[-2, 19]",21,"[-5, 19]",24,"[-2, 19]",21,"[-5, 19]",24
"[[2 2 1 3]
 [2 2 0 4]
 [4 0 0 4]]","[-3, 19]",22,"[-3, 19]",22,"[-3, 19]",22,"[-5, 19]",24,"[-3, 19]",22,"[-5, 19]",24
"[[2 2 1 3]
 [4 0 1 3]
 [4 0 0 4]]","[-1, 20]",21,"[-2, 20]",22,"[-1, 20]",21,"[-4, 20]",24,"[-1, 20]",21,"[-4, 20]",24
"[[2 2 2 2]
 [3 1 1 3]
 [4 0 0 4]]","[-4, 18]",22,"[-4, 18]",22,"[-4, 18]",22,"[-6, 18]",24,"[-4, 18]",22,"[-6, 18]",24
"[[3 1 2 2]
 [3 1 2 2]
 [4 0 0 4]]","[-3, 18]",21,"[-3, 18]",21,"[-3, 18]",21,"[-6, 18]",24,"[-3, 18]",21,"[-6, 18]",24
"[[2 2 2 2]
 [3 1 0 4]
 [4 0 0 4]]","[-2, 19]",21,"[-3, 19]",22,"[-2, 19]",21,"[-5, 19]",24,"[-2, 19]",21,"[-5, 19]",24
"[[1 3 1 3]
 [3 1 1 3]
 [4 0 0 4]]","[-3, 18]",21,"[-4, 18]",22,"[-3, 18]",21,"[-6, 18]",24,"[-3, 18]",21,"[-6, 18]",24
"[[2 2 2 2]
 [4 0 1 3]
 [4 0 0 4]]","[-3, 19]",22,"[-3, 19]",22,"[-3, 19]",22,"[-5, 19]",24,"[-3, 19]",22,"[-5, 19]",24
"[[2 2 2 2]
 [2 2 0 4]
 [4 0 0 4]]","[-4, 18]",22,"[-4, 18]",22,"[-3, 18]",21,"[-6, 18]",24,"[-3, 18]",21,"[-6, 18]",24
"[[3 1 2 2]
 [3 1 0 4]
 [4 0 0 4]]","[-1, 20]",21,"[-2, 20]",22,"[-1, 20]",21,"[-4, 20]",24,"[-1, 20]",21,"[-4, 20]",24
"[[3 1 2 2]
 [2 2 0 4]
 [4 0 0 4]]","[-2, 19]",21,"[-2, 19]",21,"[-2, 19]",21,"[-4, 19]",23,"[-2, 19]",21,"[-4, 19]",23
"[[2 2 1 3]
 [3 1 1 3]
 [4 0 0 4]]","[-2, 19]",21,"[-2, 19]",21,"[-2, 19]",21,"[-5, 19]",24,"[-2, 19]",21,"[-5, 19]",24
"[[3 1 2 2]
 [2 2 1 3]
 [4 0 0 4]]","[-4, 18]",22,"[-4, 18]",22,"[-3, 18]",21,"[-6, 18]",24,"[-3, 18]",21,"[-6, 18]",24
"[[2 2 3 1]
 [3 1 1 3]
 [4 0 0 4]]","[-4, 17]",21,"[-6, 17]",23,"[-5, 17]",22,"[-5, 17]",22,"[-5, 17]",22,"[-5, 17]",22
"[[2 2 2 2]
 [4 0 1 3]
 [4 0 0 4]]","[-2, 19]",21,"[-3, 19]",22,"[-2, 19]",21,"[-4, 19]",23,"[-2, 19]",21,"[-4, 19]",23
"[[2 2 0 4]
 [2 2 1 3]
 [4 0 0 4]]","[-1, 19]",20,"[-2, 19]",21,"[-1, 19]",20,"[-2, 19]",21,"[-1, 19]",20,"[-2, 19]",21
"[[3 1 1 3]
 [3 1 1 3]
 [4 0 0 4]]","[0, 20]",20,"[0, 20]",20,"[0, 20]",20,"[-4, 20]",24,"[0, 20]",20,"[-4, 20]",24
"[[3 1 3 1]
 [4 0 1 3]
 [4 0 0 4]]","[0, 19]",19,"[-3, 19]",22,"[-2, 19]",21,"[-3, 19]",22,"[-2, 19]",21,"[-3, 19]",22
"[[3 1 2 2]
 [3 1 1 3]
 [4 0 0 4]]","[-2, 19]",21,"[-3, 19]",22,"[-2, 19]",21,"[-5, 19]",24,"[-2, 19]",21,"[-5, 19]",24
"[[2 2 1 3]
 [4 0 1 3]
 [4 0 0 4]]","[-1, 20]",21,"[-1, 20]",21,"[-1, 20]",21,"[-4, 20]",24,"[-1, 20]",21,"[-4, 20]",24
"[[0 4 2 2]
 [3 1 1 3]
 [4 0 0 4]]","[-6, 16]",22,"[-7, 16]",23,"[-7, 16]",23,"[-8, 16]",24,"[-7, 16]",23,"[-8, 16]",24
"[[2 2 2 2]
 [2 2 0 4]
 [4 0 0 4]]","[-3, 18]",21,"[-4, 18]",22,"[-3, 18]",21,"[-5, 18]",23,"[-3, 18]",21,"[-5, 18]",23
"[[3 1 2 2]
 [2 2 0 4]
 [4 0 0 4]]","[-1, 19]",20,"[-2, 19]",21,"[-2, 19]",21,"[-5, 19]",24,"[-2, 19]",21,"[-5, 19]",24
