"[[6 0 2 4]
 [5 1 2 4]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[5 1 1 5]
 [4 2 1 5]]","[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[6 0 3 3]
 [6 0 2 4]]","[0, 19]",19,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[4 2 1 5]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[2, 19]",17,"[-2, 19]",21
"[[6 0 1 5]
 [6 0 3 3]]","[5, 20]",15,"[1, 20]",19,"[4, 20]",16,"[2, 20]",18,"[4, 20]",16,"[2, 20]",18
"[[3 3 1 5]
 [5 1 3 3]]","[-4, 15]",19,"[-4, 15]",19,"[-3, 15]",18,"[-5, 16]",21,"[-4, 15]",19,"[-5, 16]",21
"[[4 2 1 5]
 [4 2 0 6]]","[2, 19]",17,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[6 0 3 3]
 [4 2 0 6]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]",19,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[5 1 0 6]
 [6 0 2 4]]","[3, 21]",18,"[3, 21]",18,"[3, 21]",18,"[-1, 21]",22,"[4, 21]",17,"[-1, 21]",22
"[[4 2 1 5]
 [4 2 0 6]]","[2, 19]",17,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[5 1 1 5]
 [6 0 2 4]]","[0, 20]",20,"[2, 20]",18,"[2, 20]",18,"[-1, 20]",21,"[2, 20]",18,"[-1, 20]",21
"[[6 0 1 5]
 [5 1 2 4]]","[2, 20]",18,"[1, 20]",19,"[2, 20]",18,"[-1, 20]",21,"[2, 20]",18,"[-1, 20]",21
"[[4 2 0 6]
 [5 1 0 6]]","[5, 21]",16,"[3, 21]",18,"[5, 21]",16,"[2, 21]",19,"[5, 21]",16,"[2, 21]",19
"[[4 2 1 5]
 [6 0 1 5]]","[2, 20]",18,"[1, 20]",19,"[2, 20]",18,"[-1, 20]",21,"[2, 20]",18,"[-1, 20]",21
"[[6 0 1 5]
 [4 2 1 5]]","[4, 20]",16,"[1, 20]",19,"[4, 20]",16,"[3, 20]",17,"[4, 20]",16,"[3, 20]",17
"[[5 1 2 4]
 [5 1 2 4]]","[-2, 18]",20,"[-2, 18]",20,"[-2, 18]",20,"[-4, 18]",22,"[-2, 18]",20,"[-4, 18]",22
"[[5 1 1 5]
 [6 0 1 5]]","[6, 21]",15,"[3, 21]",18,"[6, 21]",15,"[3, 21]",18,"[6, 21]",15,"[3, 21]",18
"[[4 2 1 5]
 [5 1 2 4]]","[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[6 0 2 4]
 [6 0 2 4]]","[3, 20]",17,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[4, 20]",16,"[0, 20]",20
"[[5 1 1 5]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[4 2 1 5]
 [5 1 1 5]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[5 1 2 4]
 [6 0 3 3]]","[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-2, 18]",20,"[0, 18]",18,"[-2, 18]",20
"[[5 1 1 5]
 [4 2 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[4 2 0 6]
 [3 3 0 6]]","[1, 19]",18,"[0, 19]",19,"[2, 19]",17,"[-2, 19]",21,"[2, 19]",17,"[-2, 19]",21
"[[6 0 2 4]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[0, 20]",20,"[2, 20]",18,"[0, 20]",20
"[[4 2 1 5]
 [5 1 2 4]]","[-2, 18]",20,"[-2, 18]",20,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[5 1 1 5]
 [4 2 0 6]]","[3, 20]",17,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[4, 20]",16,"[0, 20]",20
"[[4 2 1 5]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[2, 19]",17,"[-2, 19]",21
"[[6 0 1 5]
 [6 0 3 3]]","[4, 20]",16,"[1, 20]",19,"[4, 20]",16,"[3, 20]",17,"[4, 20]",16,"[3, 20]",17
"[[6 0 3 3]
 [3 3 0 6]]","[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-3, 18]",21,"[0, 18]",18,"[-3, 18]",21
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[6 0 2 4]
 [6 0 3 3]]","[2, 19]",17,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[6 0 2 4]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[-1, 20]",21,"[2, 20]",18,"[-1, 20]",21
"[[4 2 1 5]
 [6 0 3 3]]","[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[5 1 2 4]
 [3 3 0 6]]","[-2, 18]",20,"[-1, 18]",19,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[5 1 1 5]
 [5 1 2 4]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 1 5]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[1, 19]",18,"[-2, 19]",21
"[[4 2 1 5]
 [6 0 5 1]]","[-3, 15]",18,"[-4, 16]",20,"[-3, 15]",18,"[-5, 15]",20,"[-3, 15]",18,"[-5, 15]",20
"[[4 2 0 6]
 [4 2 2 4]]","[-1, 18]",19,"[-2, 18]",20,"[0, 18]",18,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[6 0 2 4]
 [5 1 1 5]]","[3, 20]",17,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[4, 20]",16,"[0, 20]",20
"[[3 3 1 5]
 [5 1 1 5]]","[-2, 18]",20,"[-2, 18]",20,"[-1, 18]",19,"[-4, 18]",22,"[-1, 18]",19,"[-4, 18]",22
"[[6 0 2 4]
 [6 0 2 4]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[5 1 2 4]
 [6 0 2 4]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[6 0 2 4]
 [4 2 1 5]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 1 5]
 [5 1 2 4]]","[-2, 18]",20,"[-2, 18]",20,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[5 1 1 5]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]",19,"[1, 19]",18,"[0, 19]",19,"[-2, 19]",21,"[2, 19]",17,"[-2, 19]",21
"[[5 1 2 4]
 [6 0 1 5]]","[4, 20]",16,"[1, 20]",19,"[4, 20]",16,"[3, 20]",17,"[4, 20]",16,"[3, 20]",17
"[[6 0 4 2]
 [5 1 1 5]]","[-1, 18]",19,"[-2, 18]",20,"[-1, 18]",19,"[-2, 18]",20,"[-1, 18]",19,"[-2, 18]",20
"[[5 1 1 5]
 [5 1 2 4]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[5 1 2 4]
 [5 1 1 5]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 2 4]
 [6 0 2 4]]","[-1, 18]",19,"[-2, 18]",20,"[-1, 18]",19,"[-5, 18]",23,"[-1, 18]",19,"[-5, 18]",23
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[6 0 2 4]
 [4 2 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[5 1 0 6]
 [4 2 0 6]]","[4, 21]",17,"[3, 21]",18,"[4, 21]",17,"[-1, 21]",22,"[4, 21]",17,"[-1, 21]",22
"[[6 0 0 6]
 [6 0 2 4]]","[9, 22]",13,"[5, 22]",17,"[7, 22]",15,"[4, 22]",18,"[7, 22]",15,"[4, 22]",18
"[[4 2 2 4]
 [6 0 2 4]]","[-2, 18]",20,"[-2, 18]",20,"[-1, 18]",19,"[-4, 18]",22,"[-1, 18]",19,"[-4, 18]",22
"[[3 3 0 6]
 [4 2 1 5]]","[-1, 18]",19,"[-1, 18]",19,"[0, 18]",18,"[-2, 18]",20,"[0, 18]",18,"[-2, 18]",20
"[[5 1 1 5]
 [5 1 0 6]]","[5, 21]",16,"[4, 21]",17,"[5, 21]",16,"[0, 21]",21,"[5, 21]",16,"[0, 21]",21
"[[5 1 2 4]
 [5 1 1 5]]","[-1, 19]",20,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[5 1 0 6]
 [3 3 1 5]]","[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[0, 19]",19,"[0, 19]",19,"[0, 19]",19
"[[3 3 1 5]
 [6 0 1 5]]","[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[4 2 1 5]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 0 6]
 [4 2 2 4]]","[-2, 18]",20,"[-2, 18]",20,"[-2, 18]",20,"[-3, 18]",21,"[-2, 18]",20,"[-3, 18]",21
"[[5 1 0 6]
 [5 1 1 5]]","[5, 21]",16,"[3, 21]",18,"[5, 21]",16,"[2, 21]",19,"[5, 21]",16,"[2, 21]",19
"[[5 1 2 4]
 [5 1 2 4]]","[-2, 18]",20,"[-1, 18]",19,"[-2, 18]",20,"[-5, 18]",23,"[-1, 18]",19,"[-5, 18]",23
"[[5 1 1 5]
 [6 0 2 4]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[5 1 0 6]
 [6 0 3 3]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[6 0 2 4]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[2, 20]",18,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[5 1 2 4]
 [6 0 1 5]]","[2, 20]",18,"[1, 20]",19,"[2, 20]",18,"[0, 20]",20,"[2, 20]",18,"[0, 20]",20
"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[6 0 2 4]
 [6 0 3 3]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[6 0 3 3]
 [5 1 1 5]]","[2, 19]",17,"[0, 19]",19,"[2, 19]",17,"[-2, 19]",21,"[2, 19]",17,"[-2, 19]",21
"[[5 1 2 4]
 [4 2 1 5]]","[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[4 2 1 5]
 [5 1 1 5]]","[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[4 2 0 6]
 [5 1 3 3]]","[-1, 18]",19,"[-2, 18]",20,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[4 2 1 5]
 [5 1 2 4]]","[-2, 18]",20,"[-1, 18]",19,"[-2, 18]",20,"[-4, 18]",22,"[-2, 18]",20,"[-4, 18]",22
"[[4 2 0 6]
 [5 1 2 4]]","[0, 19]",19,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[6 0 1 5]
 [6 0 3 3]]","[3, 20]",17,"[1, 20]",19,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[4 2 2 4]
 [6 0 4 2]]","[-3, 15]",18,"[-4, 15]",19,"[-3, 15]",18,"[-5, 16]",21,"[-4, 15]",19,"[-5, 16]",21
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[6 0 2 4]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[-1, 20]",21,"[3, 20]",17,"[-1, 20]",21
"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-2, 19]",21,"[0, 19]",19,"[-2, 19]",21
"[[5 1 1 5]
 [4 2 0 6]]","[4, 20]",16,"[2, 20]",18,"[5, 20]",15,"[0, 20]",20,"[5, 20]",15,"[0, 20]",20
"[[5 1 1 5]
 [3 3 1 5]]","[-1, 18]",19,"[-2, 18]",20,"[-1, 18]",19,"[-3, 18]",21,"[-1, 18]",19,"[-3, 18]",21
"[[6 0 1 5]
 [4 2 1 5]]","[2, 20]",18,"[1, 20]",19,"[3, 20]",17,"[1, 20]",19,"[3, 20]",17,"[1, 20]",19
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]",19,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[6 0 1 5]
 [3 3 0 6]]","[4, 20]",16,"[2, 20]",18,"[4, 20]",16,"[1, 20]",19,"[3, 20]",17,"[1, 20]",19
"[[6 0 2 4]
 [3 3 0 6]]","[2, 19]",17,"[0, 19]",19,"[2, 19]",17,"[-1, 19]",20,"[2, 19]",17,"[-1, 19]",20
"[[4 2 0 6]
 [6 0 2 4]]","[3, 20]",17,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[3 3 0 6]
 [6 0 2 4]]","[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20
"[[6 0 2 4]
 [5 1 1 5]]","[2, 20]",18,"[2, 20]",18,"[3, 20]",17,"[0, 20]",20,"[3, 20]",17,"[0, 20]",20
"[[6 1 3 4]
 [6 1 2 5]]","[-1, 21]",22,"[-3, 21]",24,"[0, 21]",21,"[-4, 21]",25,"[0, 21]",21,"[-4, 21]",25
"[[5 2 2 5]
 [6 1 1 6]]","[0, 22]",22,"[-2, 22]",24,"[0, 22]",22,"[-2, 22]",24,"[0, 22]",22,"[-2, 22]",24
"[[5 2 1 6]
 [5 2 2 5]]","[0, 21]",21,"[-3, 21]",24,"[0, 21]",21,"[-2, 21]",23,"[0, 21]",21,"[-2, 21]",23
"[[6 1 2 5]
 [5 2 0 7]]","[3, 23]",20,"[2, 23]",21,"[4, 23]",19,"[1, 23]",22,"[4, 23]",19,"[1, 23]",22
"[[5 2 2 5]
 [6 1 2 5]]","[-3, 21]",24,"[-3, 21]",24,"[-1, 21]",22,"[-5, 21]",26,"[-1, 21]",22,"[-5, 21]",26
"[[7 0 3 4]
 [5 2 1 6]]","[0, 22]",22,"[1, 22]",21,"[0, 22]",22,"[-2, 22]",24,"[1, 22]",21,"[-2, 22]",24
"[[6 1 2 5]
 [5 2 2 5]]","[0, 21]",21,"[-1, 21]",22,"[0, 21]",21,"[-2, 21]",23,"[0, 21]",21,"[-2, 21]",23
