"[[1 5 2 4]
 [6 0 0 6]]","[0, 17]",17,"[-5, 17]",22,"[-3, 17]",20,"[-1, 16]",17,"[-3, 17]",20,"[-1, 16]",17
"[[3 3 3 3]
 [6 0 0 6]]","[2, 18]",16,"[-4, 18]",22,"[-1, 18]",19,"[0, 18]",18,"[-1, 18]",19,"[0, 18]",18
"[[2 4 1 5]
 [6 0 0 6]]","[4, 19]",15,"[-2, 19]",21,"[0, 19]",19,"[3, 19]",16,"[0, 19]",19,"[3, 19]",16
"[[3 3 1 5]
 [6 0 0 6]]","[5, 20]",15,"[0, 20]",20,"[3, 20]",17,"[3, 20]",17,"[2, 20]",18,"[3, 20]",17
"[[4 2 1 5]
 [6 0 0 6]]","[4, 21]",17,"[0, 21]",21,"[4, 21]",17,"[2, 21]",19,"[4, 21]",17,"[2, 21]",19
"[[2 4 3 3]
 [6 0 0 6]]","[1, 17]",16,"[-5, 17]",22,"[-3, 17]",20,"[-1, 17]",18,"[-3, 17]",20,"[-1, 17]",18
"[[2 4 0 6]
 [6 0 0 6]]","[3, 20]",17,"[0, 20]",20,"[2, 20]",18,"[4, 20]",16,"[2, 20]",18,"[4, 20]",16
"[[3 3 2 4]
 [6 0 0 6]]","[2, 19]",17,"[-2, 19]",21,"[0, 19]",19,"[2, 19]",17,"[0, 19]",19,"[2, 19]",17
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]",19,"[-1, 19]",20,"[0, 19]",19,"[-1, 19]",20,"[-1, 19]",20,"[-1, 19]",20
"[[5 1 4 2]
 [6 0 0 6]]","[4, 19]",15,"[-2, 19]",21,"[0, 19]",19,"[2, 19]",17,"[0, 19]",19,"[2, 19]",17
"[[5 1 5 1]
 [6 0 0 6]]","[3, 18]",15,"[-4, 18]",22,"[-1, 18]",19,"[1, 18]",17,"[-1, 18]",19,"[1, 18]",17
"[[3 3 2 4]
 [6 0 0 6]]","[3, 19]",16,"[-2, 19]",21,"[0, 19]",19,"[2, 19]",17,"[0, 19]",19,"[2, 19]",17
"[[5 1 4 2]
 [6 0 0 6]]","[2, 19]",17,"[-2, 19]",21,"[0, 19]",19,"[2, 19]",17,"[0, 19]",19,"[2, 19]",17
"[[3 3 3 3]
 [6 0 0 6]]","[1, 18]",17,"[-4, 18]",22,"[-1, 18]",19,"[0, 18]",18,"[-1, 18]",19,"[0, 18]",18
"[[3 3 3 3]
 [6 0 0 6]]","[2, 18]",16,"[-3, 18]",21,"[-1, 18]",19,"[1, 18]",17,"[-1, 18]",19,"[1, 18]",17
"[[3 3 3 3]
 [6 0 0 6]]","[1, 18]",17,"[-4, 18]",22,"[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19
"[[2 4 0 6]
 [6 0 0 6]]","[3, 20]",17,"[0, 20]",20,"[2, 20]",18,"[3, 20]",17,"[2, 20]",18,"[3, 20]",17
"[[1 5 2 4]
 [6 0 0 6]]","[-1, 17]",18,"[-5, 17]",22,"[-3, 17]",20,"[0, 16]",16,"[-3, 17]",20,"[0, 16]",16
"[[4 2 3 3]
 [6 0 0 6]]","[3, 19]",16,"[-2, 19]",21,"[0, 19]",19,"[0, 19]",19,"[0, 19]",19,"[0, 19]",19
"[[2 4 3 3]
 [6 0 0 6]]","[-3, 17]",20,"[-5, 17]",22,"[-4, 17]",21,"[-2, 16]",18,"[-5, 17]",22,"[-2, 16]",18
"[[3 3 2 4]
 [6 0 0 6]]","[3, 19]",16,"[-2, 19]",21,"[0, 19]",19,"[1, 19]",18,"[0, 19]",19,"[1, 19]",18
"[[4 2 4 2]
 [6 0 0 6]]","[-3, 18]",21,"[-4, 18]",22,"[-3, 18]",21,"[-2, 18]",20,"[-3, 18]",21,"[-2, 18]",20
"[[3 3 3 3]
 [6 0 0 6]]","[-1, 18]",19,"[-4, 18]",22,"[-2, 18]",20,"[0, 18]",18,"[-2, 18]",20,"[0, 18]",18
"[[4 2 1 5]
 [6 0 0 6]]","[7, 21]",14,"[2, 21]",19,"[5, 21]",16,"[3, 21]",18,"[5, 21]",16,"[3, 21]",18
"[[4 2 3 3]
 [6 0 0 6]]","[3, 19]",16,"[-2, 19]",21,"[0, 19]",19,"[1, 19]",18,"[0, 19]",19,"[1, 19]",18
"[[3 3 1 5]
 [6 0 0 6]]","[4, 20]",16,"[-1, 20]",21,"[3, 20]",17,"[2, 20]",18,"[3, 20]",17,"[2, 20]",18
"[[4 2 3 3]
 [6 0 0 6]]","[3, 19]",16,"[-2, 19]",21,"[0, 19]",19,"[2, 19]",17,"[0, 19]",19,"[2, 19]",17
"[[4 2 2 4]
 [6 0 0 6]]","[4, 20]",16,"[0, 20]",20,"[3, 20]",17,"[4, 20]",16,"[3, 20]",17,"[4, 20]",16
"[[2 4 0 6]
 [6 0 0 6]]","[2, 20]",18,"[0, 20]",20,"[2, 20]",18,"[1, 20]",19,"[2, 20]",18,"[1, 20]",19
"[[3 3 3 3]
 [6 0 0 6]]","[1, 18]",17,"[-4, 18]",22,"[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19,"[-1, 18]",19
"[[4 2 5 1]
 [6 0 0 6]]","[0, 16]",16,"[-5, 17]",22,"[-3, 17]",20,"[-2, 16]",18,"[-3, 17]",20,"[-2, 16]",18
"[[2 4 2 4]
 [6 0 0 6]]","[2, 18]",16,"[-4, 18]",22,"[-1, 18]",19,"[0, 18]",18,"[-1, 18]",19,"[0, 18]",18
"[[3 3 3 3]
 [6 0 0 6]]","[0, 18]",18,"[-4, 18]",22,"[-1, 18]",19,"[0, 18]",18,"[-1, 18]",19,"[0, 18]",18
"[[3 3 1 5]
 [6 0 0 6]]","[5, 20]",15,"[0, 20]",20,"[3, 20]",17,"[4, 20]",16,"[3, 20]",17,"[4, 20]",16
